,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,Attrition,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,DailyRate,MonthlyIncome
46,35,8,1,4,4,9,4,1,19,0,1,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.6141618497109826,-0.5934579439252337
47,48,1,2,1,2,9,3,9,13,0,23,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,-0.25722543352601157,0.1719134284308903
48,28,5,4,3,3,9,3,1,13,0,2,2,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0.9104046242774566,-0.30521396950319724
49,44,1,5,2,3,2,1,5,21,1,9,2,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0.9884393063583815,0.18986719134284308
50,35,11,2,3,2,7,1,2,13,1,10,3,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0.4234104046242775,1.279390063944909
51,26,23,3,3,2,2,4,7,19,1,5,2,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0.9234104046242775,-0.12911952779144123
52,33,1,2,1,3,3,4,1,12,0,15,3,15,14,0,0,1,0,0,0,0,0,0,1,0,1,-0.41763005780346824,2.158386620757501
53,35,18,5,2,3,2,1,1,22,1,9,2,9,8,0,0,1,0,0,0,0,0,1,0,1,0,0.0708092485549133,1.0789473684210527
54,35,23,4,3,3,9,1,3,15,1,4,3,2,2,0,0,0,0,1,0,0,0,1,0,0,1,0.4884393063583815,-0.16428922774225282
55,31,7,4,4,3,9,4,3,22,1,10,2,7,7,0,0,1,0,0,0,0,1,0,0,1,0,-0.2153179190751445,0.30324643384161337
56,37,1,4,1,2,6,3,1,18,1,7,4,7,5,0,0,1,0,0,0,0,1,0,0,1,0,0.44942196531791906,0.32242990654205606
57,32,1,3,1,3,6,4,1,22,1,9,3,9,8,0,0,0,0,1,0,0,0,1,0,0,1,-0.5447976878612717,0.36399409739301525
58,38,29,5,4,3,9,4,1,11,0,10,3,10,3,0,0,1,0,0,0,0,0,0,1,1,0,-0.21820809248554912,-0.5597638957206099
59,59,25,3,1,3,2,1,7,11,0,28,2,21,16,0,0,1,0,0,0,0,0,0,1,1,0,0.911849710982659,0.7267584849975406
60,36,8,3,3,3,7,3,1,13,3,17,3,17,14,0,0,0,0,0,0,1,1,0,0,1,0,0.6054913294797688,1.3315297589768815
61,55,8,3,4,3,1,3,2,14,3,21,3,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0.046242774566473986,2.4776192818494835
62,36,11,3,2,2,6,2,1,13,0,6,3,6,5,0,0,1,0,0,0,0,0,0,1,1,0,0.565028901734104,0.44687653713723563
63,45,7,3,2,3,4,1,2,17,1,25,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.773121387283237,1.2400393507132317
64,35,1,3,2,3,4,1,4,13,1,5,2,3,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.2023121387283237,-0.6119035907525824
65,36,9,3,4,2,4,3,0,17,1,2,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-0.7023121387283237,-0.3182488932611904
66,59,1,1,1,2,2,3,7,11,0,20,2,4,3,0,0,1,0,0,0,0,0,0,1,1,0,0.6083815028901735,0.19454008853910476
67,29,2,3,3,3,4,2,0,23,1,6,3,5,4,0,0,1,0,0,0,0,0,1,0,1,0,0.7572254335260116,-0.4867191342843089
68,31,1,4,3,3,4,2,1,17,0,1,3,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0.40173410404624277,-0.5363994097393016
69,32,1,3,2,3,4,2,1,17,2,10,3,10,4,0,0,1,0,0,0,0,0,1,0,1,0,-0.3699421965317919,0.3782587309394983
70,36,6,3,2,4,9,4,3,12,0,5,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,-0.9710982658959537,-0.40432857845548453
71,31,8,4,3,3,6,4,1,23,0,11,3,11,7,0,0,1,0,0,0,0,0,0,1,1,0,-0.0838150289017341,-0.06345302508607968
72,35,1,4,3,2,2,1,0,14,0,16,3,15,13,0,0,0,1,0,0,0,0,0,1,1,0,-0.04046242774566474,-0.09099852434825381
73,45,6,4,4,3,3,1,4,14,0,17,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-0.8829479768786127,2.1060009837678306
74,37,7,4,1,3,3,3,4,13,0,16,4,5,2,0,0,0,0,1,0,0,0,0,1,1,0,-0.588150289017341,2.2090506640432856
75,46,5,2,2,3,5,2,8,22,1,16,3,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0.203757225433526,0.08337432365961633
76,30,1,1,4,2,9,4,1,12,2,10,2,10,8,0,0,1,0,0,0,0,0,1,0,0,1,0.06936416184971098,0.10919822921790458
77,35,1,3,2,2,4,3,1,18,0,6,3,6,4,0,0,0,0,1,0,0,0,0,1,1,0,0.5924855491329479,-0.4483521888834235
78,55,1,2,1,3,2,4,3,14,1,24,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,-1.0014450867052023,1.366699458927693
79,38,6,3,2,1,4,4,7,12,3,17,3,13,11,0,0,0,0,1,0,0,1,0,0,0,1,-0.3338150289017341,0.1591244466305952
80,34,1,2,1,3,6,2,1,15,0,5,3,5,2,0,0,0,0,1,0,0,0,1,0,1,0,0.5043352601156069,-0.08780127889818003
81,56,7,3,4,1,6,4,4,11,0,37,2,6,4,0,0,1,0,0,0,0,0,0,1,1,0,0.861271676300578,0.6340383669454008
82,23,2,1,3,3,8,1,3,13,1,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-0.3800578034682081,-0.5804230201672406
83,51,9,4,4,3,9,4,3,23,2,10,3,4,2,0,0,1,0,0,0,0,0,1,0,1,0,-0.5375722543352601,-0.6411706837186424
84,30,2,3,3,2,7,4,1,19,3,11,3,11,10,0,0,1,0,0,0,0,0,1,0,1,0,-0.7456647398843931,-0.13034923757993114
85,46,9,2,3,2,2,4,1,16,0,9,3,9,8,1,0,0,0,1,0,0,0,0,1,1,0,-0.19508670520231214,1.2142154451549434
86,40,1,4,3,2,7,2,1,22,1,22,2,22,3,0,0,1,0,0,0,0,0,1,0,1,0,-0.3959537572254335,2.1694540088539105
87,51,21,4,3,3,2,4,0,22,0,11,1,10,7,0,0,0,1,0,0,0,0,0,1,0,1,-0.24855491329479767,0.1866699458927693
88,30,4,2,3,2,2,2,1,12,3,11,2,11,8,0,0,0,0,1,0,0,1,0,0,0,1,0.7658959537572254,0.12961141170683718
89,46,1,3,3,2,7,1,2,13,1,21,2,10,9,0,0,0,0,1,0,0,0,1,0,0,1,-0.2398843930635838,1.4734382685686178
90,32,6,4,2,3,2,3,1,16,0,12,3,11,8,0,0,0,0,1,0,0,0,0,1,1,0,0.41763005780346824,0.08066896212493851
91,54,2,4,1,3,3,3,9,12,1,16,1,4,3,0,0,0,0,0,0,1,0,1,0,1,0,0.596820809248555,2.1807673389080175
92,24,3,2,1,3,2,3,0,21,1,4,2,3,2,0,0,0,0,0,1,0,0,1,0,1,0,0.7933526011560693,0.0779636005902607
93,28,4,3,2,3,2,3,1,15,0,5,4,5,4,0,0,0,0,1,0,0,0,1,0,1,0,-0.9884393063583815,-0.1133792424987703
94,58,10,4,4,3,2,3,0,13,0,38,2,37,10,0,0,0,0,1,0,0,0,0,1,1,0,-0.17630057803468208,2.2602065912444664
95,44,23,3,2,3,9,2,4,12,1,17,4,3,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.4552023121387283,-0.6492867683226758
96,37,6,4,3,3,5,1,4,22,0,7,3,3,2,1,1,0,0,0,0,0,1,0,0,0,1,0.004335260115606936,-0.6416625676340384
97,32,1,1,4,3,4,1,1,13,0,1,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0.033236994219653176,-0.4244958189867191
98,20,6,3,4,2,9,4,1,18,0,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0.0968208092485549,-0.4318740777176586
99,34,6,4,1,3,4,3,1,14,0,16,3,16,13,0,0,0,0,0,1,0,0,0,1,1,0,-0.20086705202312138,0.031234628627643875
100,37,2,2,3,2,7,4,5,14,1,17,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.34104046242774566,0.11829808165272995
101,25,5,3,3,2,2,3,1,11,0,6,3,6,4,1,0,0,1,0,0,0,0,0,1,0,1,-0.815028901734104,0.2611903590752582
102,25,7,1,4,2,4,4,1,11,2,2,3,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0.6878612716763006,-0.44097393015248404
103,22,15,3,2,3,9,4,1,15,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.3901734104046243,-0.4454008853910477
104,51,1,4,1,2,7,1,3,20,0,23,2,13,12,0,0,0,0,1,0,0,0,0,1,1,0,0.9421965317919075,0.6891293654697491
105,34,7,3,1,1,9,3,1,24,0,9,3,9,7,1,0,1,0,0,0,0,0,0,1,0,1,-0.21098265895953758,0.3423512051155927
106,24,18,1,2,3,9,3,0,12,1,6,3,5,3,0,0,1,0,0,0,0,0,1,0,1,0,0.4667630057803468,-0.4692572552877521
107,34,6,4,3,2,4,2,6,15,1,12,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.32803468208092484,-0.04353172651254304
108,37,3,3,3,3,2,4,2,12,0,12,3,5,3,0,0,1,0,0,0,0,0,0,1,1,0,0.5563583815028902,0.675356615838662
109,34,5,3,3,2,1,1,2,12,0,14,3,11,10,0,0,0,0,1,0,0,0,0,1,1,0,0.7947976878612717,1.7090506640432859
110,36,11,2,2,3,2,4,0,14,1,10,3,9,7,0,0,0,0,0,0,1,0,1,0,1,0,0.958092485549133,1.2434825381210035
111,36,3,2,1,3,9,4,5,22,1,7,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.17052023121387283,-0.45425479586817513
112,43,26,2,3,3,1,4,1,12,2,25,4,25,12,0,0,1,0,0,0,0,0,1,0,0,1,-0.5924855491329479,3.019429414658141
113,30,23,3,1,1,4,3,1,25,3,10,2,10,7,0,0,1,0,0,0,0,1,0,0,1,0,0.7341040462427746,-0.5088539104771274
114,33,22,2,3,3,2,2,0,13,1,8,4,7,7,0,0,0,1,0,0,0,0,1,0,1,0,-0.07803468208092486,0.3600590260698475
115,56,14,4,2,3,4,2,9,18,3,7,3,5,4,1,0,1,0,0,0,0,0,1,0,0,1,-0.5245664739884393,0.0691096901131333
116,31,6,4,2,1,2,3,4,18,0,12,2,7,7,1,0,1,0,0,0,0,0,1,0,0,1,-0.8020231213872833,0.36645351696999506
117,26,6,3,3,2,4,2,1,19,0,5,2,5,4,0,0,0,0,0,1,0,0,1,0,1,0,0.05346820809248555,-0.5691096901131333
118,58,23,4,4,3,7,4,1,12,1,40,2,40,10,1,0,0,0,1,0,0,0,1,0,1,0,-0.9494219653179191,1.384653221839646
119,19,22,1,4,3,8,3,1,19,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,-0.3988439306358382,-0.7395474667978357
120,22,2,1,3,3,9,4,0,14,1,3,3,2,1,0,0,0,0,0,0,1,0,1,0,1,0,-0.30346820809248554,-0.5309886866699459
121,49,20,4,3,3,6,1,1,14,0,16,2,15,11,0,0,0,0,1,0,0,0,1,0,1,0,-0.48265895953757226,0.4636005902606985
122,43,28,3,2,4,4,3,4,12,0,18,3,3,2,0,0,0,0,1,0,0,0,0,1,1,0,0.22109826589595374,0.014018691588785047
123,50,12,3,3,3,2,4,4,11,0,16,3,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0.0072254335260115606,1.1131333005410724
124,31,20,3,2,1,2,3,3,11,1,4,3,2,2,1,0,1,0,0,0,0,0,1,0,0,1,-0.3786127167630058,-0.030250860796851943
125,41,9,1,3,3,2,3,3,13,1,12,3,9,7,0,0,1,0,0,0,0,1,0,0,0,1,-0.002890173410404624,0.8625184456468273
126,26,25,1,3,3,5,3,1,23,1,8,3,8,7,0,0,1,0,0,0,0,0,1,0,1,0,0.796242774566474,-0.4279390063944909
127,36,6,2,2,3,6,2,6,20,2,7,3,3,2,0,0,0,0,1,0,0,1,0,0,1,0,-0.8497109826589595,0.06369896704377767
128,51,8,4,1,1,6,4,2,15,0,18,3,4,2,1,0,1,0,0,0,0,0,0,1,1,0,0.5,1.4677816035415643
129,39,4,4,4,2,2,3,4,14,1,17,4,15,11,0,0,1,0,0,0,0,0,1,0,1,0,0.7586705202312138,0.3000491883915396
130,25,28,3,1,2,2,3,2,18,0,6,3,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0.2239884393063584,0.9731923266109198
131,30,9,3,3,3,5,4,0,19,0,12,1,11,9,0,1,0,0,0,0,0,0,1,0,0,1,0.630057803468208,0.40949335956714217
132,32,9,3,1,3,9,1,7,22,0,10,4,5,4,1,0,0,0,1,0,0,0,0,1,1,0,0.3309248554913295,-0.11854402361042794
133,45,29,3,3,3,4,4,5,13,0,9,2,6,5,0,0,0,0,1,0,0,0,0,1,1,0,0.7398843930635838,-0.3025086079685194
134,38,3,5,4,3,4,3,3,20,0,19,3,3,2,0,0,0,0,0,0,1,0,0,1,0,1,-0.6358381502890174,-0.08976881455976389
135,30,18,3,1,3,4,3,1,14,0,5,2,5,4,0,0,1,0,0,0,0,0,0,1,1,0,-0.5289017341040463,-0.5041810132808657
136,32,9,2,4,1,2,4,0,17,3,9,4,8,7,0,0,0,0,1,0,0,1,0,0,1,0,-0.16618497109826588,-0.003443187407771766
137,30,5,3,4,3,4,1,5,14,1,8,3,3,2,0,0,0,0,0,0,1,1,0,0,1,0,-0.8713872832369942,-0.3635022134776193
138,30,2,1,2,2,9,4,0,13,0,6,3,5,3,0,0,0,0,1,0,0,0,0,1,1,0,0.9002890173410405,-0.4825381210034432
139,41,9,4,3,3,9,1,2,21,1,7,3,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0.18641618497109827,-0.6010821446138711
140,19,3,1,2,3,9,2,1,14,0,1,3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0.5447976878612717,-0.7867683226758485
141,40,26,3,2,3,4,2,1,11,1,20,3,20,7,0,0,0,0,1,0,0,1,0,0,1,0,0.8540462427745664,0.22700442695523856
142,35,1,5,3,3,2,2,1,13,2,10,3,10,8,0,0,0,1,0,0,0,0,1,0,1,0,-0.20520231213872833,0.6426463354648303
143,53,6,2,2,3,8,3,2,20,1,13,1,7,7,0,0,0,1,0,0,0,0,1,0,0,1,0.9132947976878613,-0.5843580914904083
144,45,9,3,2,3,9,2,8,18,1,20,1,17,9,0,0,1,0,0,0,0,1,0,0,1,0,-0.8815028901734104,-0.5740285292670929
145,32,8,3,2,3,2,4,1,14,0,9,3,9,8,0,0,0,1,0,0,0,0,0,1,1,0,0.23554913294797689,1.0614854894244958
146,29,1,1,4,3,6,3,1,13,1,10,3,10,7,0,0,0,0,0,0,1,0,1,0,1,0,1.0,-0.08927693064436792
147,51,7,4,2,2,6,3,2,17,0,10,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0.5274566473988439,0.35661583866207575
148,58,9,3,2,2,4,2,4,20,1,9,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.49277456647398843,-0.32857845548450565
149,40,4,4,3,2,2,4,7,11,1,15,2,12,11,0,0,0,1,0,0,0,0,1,0,1,0,-0.2514450867052023,1.5181997048696507
150,34,2,4,3,3,8,3,6,18,1,6,3,4,3,0,0,0,1,0,0,0,0,1,0,1,0,-0.7239884393063584,-0.602803738317757
151,22,19,1,3,3,4,4,1,24,2,2,3,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0.653179190751445,-0.5801770782095426
152,27,9,3,4,3,4,2,6,18,1,6,1,2,2,0,0,0,0,1,0,0,1,0,0,1,0,-0.16329479768786126,-0.6537137235612396
153,28,21,3,3,3,4,4,1,11,1,5,1,5,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.5260115606936416,-0.4842597147073291
154,57,24,2,3,4,7,4,3,16,1,12,1,5,3,0,0,1,0,0,0,0,1,0,0,0,1,-0.6791907514450867,1.1699458927693065
155,27,3,3,3,2,4,3,1,15,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0.9335260115606936,-0.5204131824889326
156,41,14,3,1,3,4,3,4,12,1,13,3,9,8,0,0,1,0,0,0,0,1,0,0,1,0,-0.48988439306358383,-0.5486965076242006
157,30,5,3,2,3,2,4,2,12,1,12,3,10,9,0,0,1,0,0,0,0,0,1,0,1,0,0.773121387283237,1.1650270536153469
158,38,1,4,1,2,2,4,4,22,0,12,4,8,3,0,0,1,0,0,0,0,0,0,1,1,0,-0.14739884393063585,0.984751598622725
159,32,6,5,3,3,4,3,3,20,0,8,3,5,4,0,0,1,0,0,0,0,0,0,1,1,0,-0.9884393063583815,-0.40432857845548453
160,27,17,3,3,3,4,2,0,16,1,6,2,5,2,0,0,0,0,0,0,1,0,1,0,0,1,0.5101156069364162,-0.39940973930152485
161,19,1,1,3,1,8,1,0,21,0,1,4,0,0,1,0,0,0,0,0,1,0,0,1,1,0,-0.29190751445086704,-0.5796851942941466
162,36,3,2,4,3,9,2,4,12,0,13,2,8,7,0,0,0,0,1,0,0,0,0,1,1,0,0.976878612716763,-0.6379734382685687
163,30,9,3,3,3,9,1,1,11,2,12,3,12,9,0,0,0,0,1,0,0,1,0,0,1,0,-1.0014450867052023,-0.39596655189375307
164,45,4,2,3,3,2,1,4,11,1,9,4,5,4,0,0,1,0,0,0,0,1,0,0,0,1,0.6705202312138728,0.07968519429414658
165,56,8,3,3,3,4,1,4,18,1,19,3,2,2,0,0,1,0,0,0,0,1,0,0,0,1,-0.1315028901734104,-0.1045253320216429
166,33,2,3,3,3,4,4,0,14,0,4,4,3,1,0,0,1,0,0,0,0,0,0,1,1,0,-0.9682080924855492,-0.5366453516969996
167,19,2,3,2,2,9,4,1,22,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,-0.7239884393063584,-0.8804722085587802
168,46,1,2,2,3,2,1,1,25,3,24,3,24,13,0,0,0,1,0,0,0,1,0,0,1,0,-0.40173410404624277,1.4193310378750614
169,38,9,2,3,3,9,4,1,12,0,2,3,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0.8323699421965318,-0.5887850467289719
170,31,12,1,3,3,4,4,8,23,1,7,3,4,2,0,0,0,0,1,0,0,0,1,0,0,1,-0.9595375722543352,-0.1851942941465814
171,34,27,2,4,3,4,2,2,15,0,9,3,3,2,0,0,0,0,1,0,0,0,0,1,1,0,-0.25289017341040465,-0.5831283817019184
172,41,20,2,2,3,8,2,1,22,0,4,2,4,3,1,0,0,1,0,0,0,0,0,1,0,1,0.7976878612716763,-0.3792424987702902
173,50,1,3,3,2,9,3,2,15,1,5,2,3,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.6878612716763006,-0.2439744220363994
174,53,13,2,4,4,6,1,1,11,2,5,3,4,2,0,0,0,0,1,0,0,1,0,0,1,0,0.4046242774566474,-0.05705853418593212
175,33,14,3,4,3,4,2,1,13,1,8,3,8,7,0,0,0,0,1,0,0,0,1,0,1,0,0.18352601156069365,-0.47368421052631576
176,34,2,1,4,2,6,3,1,17,0,10,2,10,9,0,0,1,0,0,0,0,0,1,0,1,0,0.3829479768786127,1.1965076242006887
177,51,3,3,4,3,7,2,3,18,0,21,3,7,7,0,0,0,0,1,0,0,0,0,1,1,0,-0.7095375722543352,2.226266601082145
178,27,9,3,4,3,4,2,1,16,0,7,2,7,7,0,0,0,0,1,0,0,0,0,1,1,0,0.13005780346820808,-0.5909985243482538
179,35,23,2,2,2,6,3,3,13,0,8,3,1,0,1,0,1,0,0,0,0,0,1,0,0,1,-0.3583815028901734,0.3034923757993114
180,43,7,3,4,4,4,4,4,14,3,7,4,5,4,0,0,0,0,1,0,0,1,0,0,1,0,0.7803468208092486,-0.6377274963108707
181,45,2,2,1,2,1,4,9,23,1,22,3,20,8,0,0,0,0,1,0,0,0,1,0,1,0,0.565028901734104,2.9783571077225774
182,37,21,3,2,4,4,1,1,12,1,8,2,8,7,0,0,1,0,0,0,0,0,1,0,0,1,-0.7427745664739884,-0.2749631087063453
183,35,2,3,2,3,9,2,5,11,0,10,3,6,2,0,0,0,0,1,0,0,0,0,1,1,0,-0.9624277456647399,-0.0632070831283817
184,42,21,2,3,3,6,3,2,16,1,11,3,5,3,0,0,0,0,1,0,0,1,0,0,1,0,0.17630057803468208,0.14338416133792425
